Title,Cited by,Link,Abstract
"Out of balance: The fragile world economy",1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649771613&doi=10.1080%2f00396338.2010.540784&partnerID=40&md5=739ffaae3619c6d71779756153b140f3",[No abstract available]
"Obama's dilemma: Iran, israel and the rumours of war",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649762203&doi=10.1080%2f00396338.2010.540781&partnerID=40&md5=71364248d5caafb2d178b9fde1180366",[No abstract available]
"Towards a NATO-Russia Strategic Concept",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649789540&doi=10.1080%2f00396338.2010.540780&partnerID=40&md5=90439a71268da391ebf85b1b19f69708",[No abstract available]
"Jihadi video in the 'war of ideas'",5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649793689&doi=10.1080%2f00396338.2010.540787&partnerID=40&md5=016f3ed0d937773ded157b5353958e64",[No abstract available]
"A nuclear iran and NATO",3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649777103&doi=10.1080%2f00396338.2010.540782&partnerID=40&md5=627cff2e594def0ef900bdbde7f3ac1b",[No abstract available]
"Power Shifts",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649761717&doi=10.1080%2f00396338.2010.540792&partnerID=40&md5=c59ba53f8c914ac09099d4b764f2af8a",[No abstract available]
"How do rising powers rise?",18,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649785741&doi=10.1080%2f00396338.2010.540783&partnerID=40&md5=9339eb752f01e23c5c8f05add5ddff7d",[No abstract available]
"Nuclear zero and ballistic-missile defence",4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649799805&doi=10.1080%2f00396338.2010.540785&partnerID=40&md5=3556b92ad6b707f84cf8fe29797788fc",[No abstract available]
"Kosovo and the UN",4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957822800&doi=10.1080%2f00396338.2010.522097&partnerID=40&md5=6ec77e45f363bfb46eafff3101bcf744",[No abstract available]
"The Dayton dilemma",10,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957795458&doi=10.1080%2f00396338.2010.522096&partnerID=40&md5=726245c8e7f4c3f0f16cc1c3696e87cd",[No abstract available]
"Privacy and surveillance in the age of terror",3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957796807&doi=10.1080%2f00396338.2010.522094&partnerID=40&md5=cdd150ae1b99d3fd0313a9235a8b9562",[No abstract available]
"Strategy or alibi? Obama, Mcchrystal and the operational level of war",20,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957762143&doi=10.1080%2f00396338.2010.522104&partnerID=40&md5=94bca4761be4e3cd94780e90e75948d1",[No abstract available]
"Rethinking Iran",3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957768391&doi=10.1080%2f00396338.2010.522101&partnerID=40&md5=77b1827767f9595049172719d653f89c",[No abstract available]
"Kosovo: Four futures",7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957775571&doi=10.1080%2f00396338.2010.522099&partnerID=40&md5=72df9b7408b780f3e22dd57ab5ac258d",[No abstract available]
"Kyrgyzstan: Central Asia's island of instability",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957760415&doi=10.1080%2f00396338.2010.522093&partnerID=40&md5=714ea8917c8ba1188c869b2cc73f7ab7",[No abstract available]
"After sanctions, deter and engage Iran",1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957818257&doi=10.1080%2f00396338.2010.522092&partnerID=40&md5=1686da9a2673f8c78c6fd2c888902ddd",[No abstract available]
"Myanmar's nuclear ambitions",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957758910&doi=10.1080%2f00396338.2010.522091&partnerID=40&md5=dc94e35f1c19a1087027b46709e6f566",[No abstract available]
"Pathogens and arms control: Can bioscience police itself?",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957785860&doi=10.1080%2f00396338.2010.522100&partnerID=40&md5=4685184b327f9e55832c8f4effdcf24f",[No abstract available]
"Lessons from Basra: The future of British counter-insurgency",10,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954854884&doi=10.1080%2f00396338.2010.506827&partnerID=40&md5=4982aab57cae7d7dc613e53b6a7dacd6",[No abstract available]
"Illusive visions and practical realities: Russia, NATO and missile defence",8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954850673&doi=10.1080%2f00396338.2010.506824&partnerID=40&md5=47006f31b631d6896173d657c7ba39f1",[No abstract available]
"China in cyberspace",7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954857490&doi=10.1080%2f00396338.2010.506820&partnerID=40&md5=c334d77f52431072e3eb25d3c82264e7",[No abstract available]
"Thailand's twin fires",4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954857089&doi=10.1080%2f00396338.2010.506815&partnerID=40&md5=51d2b94454edaa9d6c1d6bf3bc77c009",[No abstract available]
"Navigating troubled waters: NATO's maritime strategy",7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954840749&doi=10.1080%2f00396338.2010.506814&partnerID=40&md5=c27173937e25b985c95e5c1fb0606964",[No abstract available]
"Remaking the Nagorno-Karabakh peace process",14,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954850672&doi=10.1080%2f00396338.2010.506830&partnerID=40&md5=c9f256f4d47eb8214c3e408299691f93",[No abstract available]
"China's Afghan dilemma",7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954836765&doi=10.1080%2f00396338.2010.506813&partnerID=40&md5=82ac1af22f535ae56a7112ddf80c47df",[No abstract available]
